HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions
Alabama,1104,4,Akron,1103,12,0.6630282666950224
Arizona,1112,1,Akron,1103,12,0.7122539307514802
Arkansas,1116,4,Akron,1103,12,0.6643447623948017
BYU,1140,6,Akron,1103,12,0.6031665670189791
Akron,1103,12,Cal Baptist,1465,13,0.5696418826337368
Clemson,1155,8,Akron,1103,12,0.5869736277081448
Connecticut,1163,2,Akron,1103,12,0.7504857275543991
Duke,1181,1,Akron,1103,12,0.7510425850069566
Florida,1196,1,Akron,1103,12,0.7268721852183532
Akron,1103,12,Furman,1202,15,0.6053955763049137
Georgia,1208,8,Akron,1103,12,0.6101279882250213
Gonzaga,1211,3,Akron,1103,12,0.7157260865916203
Akron,1103,12,Hawaii,1218,13,0.566127759474764
Akron,1103,12,High Point,1219,12,0.5030452818112808
Akron,1103,12,Hofstra,1220,13,0.5084128373579251
Houston,1222,2,Akron,1103,12,0.7205477801173362
Akron,1103,12,Howard,1224,16,0.6485357036696209
Akron,1103,12,Idaho,1225,15,0.6123932128811164
Illinois,1228,3,Akron,1103,12,0.6747617385381358
Iowa,1234,9,Akron,1103,12,0.6258241189673873
Iowa St,1235,2,Akron,1103,12,0.5696889928295198
Kansas,1242,4,Akron,1103,12,0.681941605600785
Akron,1103,12,Kennesaw State,1244,14,0.42077141741284074
Kentucky,1246,7,Akron,1103,12,0.6654560289450221
Akron,1103,12,Lehigh,1250,16,0.7091506181983369
Akron,1103,12,LIU Brooklyn,1254,16,0.6562700949515213
Louisville,1257,6,Akron,1103,12,0.6621352757741918
McNeese St,1270,12,Akron,1103,12,0.5792285825871593
Miami FL,1274,7,Akron,1103,12,0.6340762284746879
Miami OH,1275,11,Akron,1103,12,0.4885451626608365
Michigan,1276,1,Akron,1103,12,0.7808945845944296
Michigan St,1277,3,Akron,1103,12,0.5696889928295198
Missouri,1281,10,Akron,1103,12,0.5680292170053594
Akron,1103,12,North Dakota State,1295,14,0.42077141741284074
NC State,1301,11,Akron,1103,12,0.5792285825871593
Nebraska,1304,4,Akron,1103,12,0.6248081626547485
North Carolina,1314,6,Akron,1103,12,0.7271741441810077
Akron,1103,12,Northern Iowa,1320,12,0.4863052530832873
Ohio St,1326,8,Akron,1103,12,0.5792285825871593
Akron,1103,12,Penn,1335,14,0.6065952718588058
Akron,1103,12,Prairie View,1341,16,0.42077141741284074
Purdue,1345,2,Akron,1103,12,0.6951119532710942
Akron,1103,12,Queens,1474,15,0.6393819774599844
Santa Clara,1365,10,Akron,1103,12,0.5896733545785725
Akron,1103,12,Siena,1373,16,0.6193701778582683
SMU,1374,11,Akron,1103,12,0.588209139209307
South Florida,1378,11,Akron,1103,12,0.573090255845993
St John's,1385,5,Akron,1103,12,0.5792285825871593
Saint Louis,1387,9,Akron,1103,12,0.6110431918417141
St Mary's CA,1388,7,Akron,1103,12,0.5792285825871593
TCU,1395,9,Akron,1103,12,0.5841615091564254
Tennessee,1397,6,Akron,1103,12,0.6785305741674296
Akron,1103,12,Tennessee State,1398,15,0.42077141741284074
Texas,1400,11,Akron,1103,12,0.5740746543377082
Texas A&M,1401,10,Akron,1103,12,0.5988512117234738
Texas Tech,1403,5,Akron,1103,12,0.6415443596128597
Akron,1103,12,Troy,1407,13,0.5628037128631266
UCF,1416,10,Akron,1103,12,0.5381653489587156
UCLA,1417,7,Akron,1103,12,0.6561476452640779
Akron,1103,12,UMBC,1420,16,0.6221749275116416
Utah State,1429,9,Akron,1103,12,0.5792285825871593
Vanderbilt,1435,5,Akron,1103,12,0.6403105289386971
VCU,1433,11,Akron,1103,12,0.5840840709109073
Villanova,1437,8,Akron,1103,12,0.6127132630849871
Virginia,1438,3,Akron,1103,12,0.6044053218505745
Wisconsin,1458,5,Akron,1103,12,0.6555712531409414
Akron,1103,12,Wright State,1460,14,0.42077141741284074
Arizona,1112,1,Alabama,1104,4,0.564995894288821
Alabama,1104,4,Arkansas,1116,4,0.49832039373019493
