HigherSeed,HigherSeedID,HigherSeedNum,LowerSeed,LowerSeedID,LowerSeedNum,Predictions
Alabama,1104,4,Akron,1103,12,0.6870263137748039
Arizona,1112,1,Akron,1103,12,0.7460412503629802
Arkansas,1116,4,Akron,1103,12,0.6947930203525724
BYU,1140,6,Akron,1103,12,0.5980602260695773
Akron,1103,12,Cal Baptist,1465,13,0.575486820860963
Clemson,1155,8,Akron,1103,12,0.5844700463719865
Connecticut,1163,2,Akron,1103,12,0.7890613026282765
Duke,1181,1,Akron,1103,12,0.7903192499896707
Florida,1196,1,Akron,1103,12,0.7661841686336867
Akron,1103,12,Furman,1202,15,0.6116244011215614
Georgia,1208,8,Akron,1103,12,0.6105190651616977
Gonzaga,1211,3,Akron,1103,12,0.7478602839545228
Akron,1103,12,Hawaii,1218,13,0.5729792101769863
Akron,1103,12,High Point,1219,12,0.507155715639352
Akron,1103,12,Hofstra,1220,13,0.5085400029188397
Houston,1222,2,Akron,1103,12,0.7537123067941305
Akron,1103,12,Howard,1224,16,0.6537777648390873
Akron,1103,12,Idaho,1225,15,0.62062305984446
Illinois,1228,3,Akron,1103,12,0.704176400044265
Iowa,1234,9,Akron,1103,12,0.6262015382638867
Iowa St,1235,2,Akron,1103,12,0.5
Kansas,1242,4,Akron,1103,12,0.7088621221602169
Akron,1103,12,Kennesaw State,1244,14,0.5
Kentucky,1246,7,Akron,1103,12,0.6708988775817766
Akron,1103,12,Lehigh,1250,16,0.7190568110181073
Akron,1103,12,LIU Brooklyn,1254,16,0.6651351963938464
Louisville,1257,6,Akron,1103,12,0.6659623020526584
McNeese St,1270,12,Akron,1103,12,0.5
Miami FL,1274,7,Akron,1103,12,0.638946447619919
Miami OH,1275,11,Akron,1103,12,0.48507777593338214
Michigan,1276,1,Akron,1103,12,0.8222259984093985
Michigan St,1277,3,Akron,1103,12,0.5
Missouri,1281,10,Akron,1103,12,0.562409920303423
Akron,1103,12,North Dakota State,1295,14,0.5
NC State,1301,11,Akron,1103,12,0.5
Nebraska,1304,4,Akron,1103,12,0.6466235286568249
North Carolina,1314,6,Akron,1103,12,0.727928930728973
Akron,1103,12,Northern Iowa,1320,12,0.48736831406848574
Ohio St,1326,8,Akron,1103,12,0.5
Akron,1103,12,Penn,1335,14,0.6137426754547929
Akron,1103,12,Prairie View,1341,16,0.5
Purdue,1345,2,Akron,1103,12,0.7272489803176433
Akron,1103,12,Queens,1474,15,0.6477938649160903
Santa Clara,1365,10,Akron,1103,12,0.5916788551155566
Akron,1103,12,Siena,1373,16,0.6257447739542817
SMU,1374,11,Akron,1103,12,0.5867320364656673
South Florida,1378,11,Akron,1103,12,0.575275727783664
St John's,1385,5,Akron,1103,12,0.5
Saint Louis,1387,9,Akron,1103,12,0.6116511808410128
St Mary's CA,1388,7,Akron,1103,12,0.5
TCU,1395,9,Akron,1103,12,0.5832430359886699
Tennessee,1397,6,Akron,1103,12,0.6809319000098996
Akron,1103,12,Tennessee State,1398,15,0.5
Texas,1400,11,Akron,1103,12,0.5711388727155761
Texas A&M,1401,10,Akron,1103,12,0.5984203957523333
Texas Tech,1403,5,Akron,1103,12,0.6417636493047846
